rowid,﻿artifactNumber,ObjectName,GeneralDescription,model,SerialNumber,Manufacturer,ManuCountry,ManuProvince,ManuCity,BeginDate,EndDate,date_qualifier,patent,NumberOfComponents,ArtifactFinish,ContextCanada,ContextFunction,ContextTechnical,group1,category1,subcategory1,group2,category2,subcategory2,group3,category3,subcategory3,material,Length,Width,Height,Thickness,Weight,Diameter,image,thumbnail,...38
1,1966.0001.001,Cover,PAPER,WESTERN CANADA AIRWAYS LTD.,NA,Unknown,Unknown,NA,NA,1927,NA,NA,NA,1,NA,AT THE TIME IT WAS THE WORLD'S MOST NORTHERNLY AIR SERVICE,NA,NA,Aviation,Commemorative,Stamps & coins,NA,NA,NA,NA,NA,NA,paper,4.5,2.6,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0001.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0001.001.aa.cs.thumb.png,NA
2,1966.0002.001,Stamp  postage,PAPER,WESTERN CANADA AIRWAYS LTD.,NA,Unknown,Unknown,NA,NA,1927,NA,NA,NA,1,PINK & BLACK ON WHITE,NA,NA,NA,Aviation,Commemorative,Stamps & coins,NA,NA,NA,NA,NA,NA,paper,3.8,2.7,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0002.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0002.001.aa.cs.thumb.png,NA
3,1966.0003.001,Stamp  postage,PAPER,NA,NA,Unknown,Unknown,NA,NA,1932,NA,NA,NA,1,DARK & PALE BLUE ON WHITE,NA,NA,NA,Aviation,Commemorative,Stamps & coins,NA,NA,NA,NA,NA,NA,paper,12.8,8.4,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0003.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0003.001.aa.cs.thumb.png,NA
4,1966.0004.001,Stamp  postage,PAPER,ELLIOT  JACK V. AIR SERVICE,NA,Unknown,Unknown,NA,NA,1926,NA,NA,NA,1,RED ON YELLOW WITH SHADED ZIG-ZAG LINE BACKGROUND,NA,NA,NA,Aviation,Commemorative,Stamps & coins,NA,NA,NA,NA,NA,NA,paper,22.4,9,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0004.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0004.001.aa.cs.thumb.png,NA
5,1966.0005.001,Stamp  postage,PAPER,ELLIOT-FAIRCHILD AIR SERVICE,NA,Unknown,Unknown,NA,NA,1926,NA,NA,NA,1,RED ON YELLOW WITH SWASTIKA BACKGROUND,NA,NA,NA,Aviation,Commemorative,Stamps & coins,NA,NA,NA,NA,NA,NA,paper,22.7,9.5,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0005.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0005.001.aa.cs.thumb.png,NA
9,1966.0009.001,Propeller,Wooden propeller with metal sheathing attached to leading edges,JUPITER XI,12428B,Unknown,Unknown,NA,NA,1929,NA,NA,NA,1,METAL LEADING EDGE/ PAINTED BLACK/ SCRATCHED & DIRTY/ HUB HAS HOLES,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood;metal,340,30,15,NA,18.5 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0009.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0009.001.aa.cs.thumb.png,NA
10,1966.0011.001,Propeller,WOOD; FIBRE,MERLIN II,H1454,Unknown,Unknown,NA,NA,1939,NA,NA,NA,1,PAINTED YELLOW & SILVER,THE BCATP TRAINED COMMONWEALTH AND ALLIED AIR CREW AND WAS A SIGNIFICANT CANADIAN AND IN PARTICULAR RCAF CONTRIBUTION TO THE WAR EFFORT,LIST & COMMEMORATE AERO ENGINE MECHANICS TRAINED IN WINNIPEG AS PART OF BRITISH COMMONWEALTH AIR TRAINING PLAN (BCATP),NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood;fibre,NA,31,26,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0011.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0011.001.aa.cs.thumb.png,NA
11,1966.0012.001,Propeller,WOOD,NA,82941,Unknown,Unknown,NA,NA,NA,NA,NA,NA,1,PAINTED BLACK  YELLOW TIPS,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood,NA,NA,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0012.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0012.001.aa.cs.thumb.png,NA
12,1966.0016.001,Propeller,WOOD/ METAL LEADING EDGE & TIPS/ METAL HUB ASSEMBLY,NA,13767,Flottorp,United States of America,Michigan,Grand rapids,NA,NA,NA,NA,1,Semi-gloss finish,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood;metal,190,15,11,NA,6.7 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0016.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0016.001.aa.cs.thumb.png,NA
13,1966.0017.001,Propeller,WOOD/ METAL PLATE OVER HUB,NA,11993/3316,Unknown,Unknown,NA,NA,NA,NA,NA,NA,1,Reddish varnish/ Hub has bolts & metal cover plate,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood;metal,244,25,9.5,NA,10.8 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0017.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0017.001.aa.cs.thumb.png,NA
14,1966.0018.001,Propeller,WOODEN PROPELLER WITH METAL TRAILING EGDES AND TIPS/ BRASS MFR'S PLATE,NA,457,Requa Gibson Propeller,United States of America,NA,NA,1910,NA,circa,pending,1,BLADES ARE COVERED WITH TIN AT THE ENDS/ TIN SHOWS SIGNS OF BLUE PAINT,The Requa Gibson  the first U.S. propeller production facility  was founded in 1909 and was headed by Canadian engineer Wallace R. Turnbull.,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood->ash;metal->brass;metal->tin,214,22,10.8,NA,6.5 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0018.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0018.001.aa.cs.thumb.png,NA
