rowid,﻿artifactNumber,ObjectName,GeneralDescription,model,SerialNumber,Manufacturer,ManuCountry,ManuProvince,ManuCity,BeginDate,EndDate,date_qualifier,patent,NumberOfComponents,ArtifactFinish,ContextCanada,ContextFunction,ContextTechnical,group1,category1,subcategory1,group2,category2,subcategory2,group3,category3,subcategory3,material,Length,Width,Height,Thickness,Weight,Diameter,image,thumbnail,...38
12,1966.0016.001,Propeller,WOOD/ METAL LEADING EDGE & TIPS/ METAL HUB ASSEMBLY,NA,13767,Flottorp,United States of America,Michigan,Grand rapids,NA,NA,NA,NA,1,Semi-gloss finish,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood;metal,190,15,11,NA,6.7 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0016.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0016.001.aa.cs.thumb.png,NA
15,1966.0020.001,Propeller,WOOD/ METAL,NA,G1710,S & S Aircraft Co.,Canada,Manitoba,Winnipeg,1942,NA,NA,NA,1,HAS METAL LEADING EDGE & HUB BOLTS,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood;metal,230,25,20,NA,23.0 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0020.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0020.001.aa.cs.thumb.png,NA
16,1966.0022.001,Propeller,WOOD,NA,1392,Jacuzzi Bros. Inc.,United States of America,California,Berkeley,NA,NA,NA,NA,1,Varnished,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood,242,21,9.8,NA,7.7 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0022.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0022.001.aa.cs.thumb.png,NA
17,1966.0024.001,Propeller,WOOD/ METAL HUB ASSEMBLY,PARAGON,1185 4616,American Propeller & Mfg. Co.,United States of America,Maryland,Baltimore,NA,NA,NA,TRADEMARK; PARAGON,1,SEVERAL LAYERS OF VARNISH,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood;metal,252,22.5,10.5,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0024.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0024.001.aa.cs.thumb.png,NA
75,1966.0069.001,Airplane,these were the first all-metal stressed-skin aircraft to be built in Canada. The Delta used the same wing as the Gamma  had split flaps and a non-retractable undercarriage like its predecessors,Northrop Delta,CV183,Canadian Vickers Ltd.,Canada,Qu√©bec,Montr√©al,1938,NA,before,NA,1,NA,NA,NA,In 1935  when the RCAF wanted a high performance photographic aircraft  it considered the Northrop Gamma but instead settled on Northrop's transport version of the same aircraft  the Northrop Delta. Canadian Vickers was commissioned to build an initial four aircraft under license and these were the first all-metal stressed-skin aircraft to be built in Canada. The Delta used the same wing as the Gamma  had split flaps and a non-retractable undercarriage like its predecessors. The larger fuselage accommodated up to eight passengers. For RCAF use  the design was modified to accept three Fairchild A-3 cameras at the rear of the cabin. The cabin floor was strengthened to accept freight loads and a large upward opening freight door was installed on the port side. Two Deltas were armed with a defensive machine gun fitted in an open hatch in the roof. Protection from the slipstream was provided by a plexiglas fairing. This particular installation was not very satisfactory causing buffeting and a marked decrease in performance.,Aviation,Aircraft,NA,NA,NA,NA,NA,NA,NA,metal->aluminum;metal->steel;resin->rubber,9.8 M,14.6 M,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0069.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0069.001.aa.cs.thumb.png,NA
76,1966.0070.001,Propeller,metal,FAIREY,FR8065,Fairey Aviation Co. Ltd.,England,NA,Hayes,NA,NA,NA,NA,1,Painted black with yellow tips,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,metal,226,NA,NA,NA,20.7 kg,25.0 cm,http://source.techno-science.ca/artifacts-artefacts/images/1966.0070.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0070.001.aa.cs.thumb.png,NA
78,1966.0072.001,Propeller,NA,HAMILTON STANDARD,15454,Hamilton Standard Propeller Div.  United Aircraft Corp.,United States of America,Connecticut,East hartford,NA,NA,NA,NA,1,NA,NA,NA,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0072.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0072.001.aa.cs.thumb.png,NA
79,1966.0073.001,Propeller,METAL,FAIREY,FR 747,Fairey Aviation Co. Ltd.,England,NA,Hayes,NA,NA,NA,NA,1,HUB CRACKED,NA,NA,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,metal,212,NA,NA,NA,12.25 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0073.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0073.001.aa.cs.thumb.png,NA
80,1966.0074.001,Propeller,WOOD/ FABRIC,GANO G99-180-100C,787,Gano Propeller Co.,United States of America,Texas,Fort worth,1920,NA,circa,NA,1,BLADES FABRIC COVERED,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood;fibre,245,20,15,NA,6.7 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0074.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0074.001.aa.cs.thumb.png,NA
84,1966.0078.001,Propeller,WOOD,JACUZZI,1993,Jacuzzi Bros. Ltd.,United States of America,California,Berkeley,NA,NA,NA,NA,1,Clear varnish,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood,244,NA,NA,NA,9.0 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0078.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0078.001.aa.cs.thumb.png,NA
